Symbol,Date,Open,High,Low,Close,Volume
TSLA,20161116,$12.1767,$12.3153,$12.0807,$12.262,51489994
TSLA,20161115,$12.1853,$12.4287,$12.1367,$12.2513,58496116
TSLA,20161114,$12.5333,$12.55,$11.8793,$12.0967,98218646
TSLA,20161111,$12.2827,$12.592,$12.20,$12.5707,59806335
TSLA,20161110,$12.7367,$12.774,$12.028,$12.3567,101194299
TSLA,20161109,$12.4583,$12.80,$12.2633,$12.6707,122496644
TSLA,20161108,$12.9193,$13.166,$12.7507,$12.996,48793881
TSLA,20161107,$12.906,$12.9527,$12.67,$12.8807,57865201
TSLA,20161104,$12.60,$12.8973,$12.3973,$12.704,77158686
TSLA,20161103,$12.60,$12.7647,$12.4693,$12.4947,39668230
TSLA,20161102,$12.67,$12.8463,$12.5003,$12.5347,63633718
TSLA,20161101,$13.2027,$13.2333,$12.5403,$12.7193,105355057
TSLA,20161031,$13.4993,$13.4993,$13.054,$13.182,70369765
TSLA,20161028,$13.60,$13.688,$13.322,$13.3313,64101808
TSLA,20161027,$14.0893,$14.2467,$13.4433,$13.6007,196064752
TSLA,20161026,$13.40,$13.546,$13.34,$13.4827,80203355
TSLA,20161025,$13.5267,$13.646,$13.4133,$13.4893,36631752
TSLA,20161024,$13.40,$13.5964,$13.35,$13.5173,41210139
TSLA,20161021,$13.24,$13.438,$13.1607,$13.3393,44053598
TSLA,20161020,$13.4747,$13.5333,$13.1367,$13.2733,76041112
TSLA,20161019,$13.316,$13.7773,$13.204,$13.5707,104492723
TSLA,20161018,$13.066,$13.298,$12.884,$13.2733,85140647
TSLA,20161017,$13.1367,$13.226,$12.80,$12.9307,67774931
TSLA,20161014,$13.3773,$13.4287,$13.0867,$13.1007,63982033
TSLA,20161013,$13.3667,$13.393,$13.1367,$13.3493,37427081
TSLA,20161012,$13.3967,$13.592,$13.3613,$13.434,29536470
TSLA,20161011,$13.4567,$13.48,$13.2207,$13.34,34901293
TSLA,20161010,$13.4233,$13.6093,$13.3107,$13.3967,49670075
TSLA,20161007,$13.40,$13.4213,$13.0533,$13.1073,52342174
TSLA,20161006,$13.4973,$13.614,$13.3473,$13.40,70469020
TSLA,20161005,$14.1493,$14.21,$13.8747,$13.8973,28086826
TSLA,20161004,$14.2067,$14.2213,$13.9213,$14.094,53069268
TSLA,20161003,$14.1533,$14.3779,$13.8833,$14.2467,89840085
TSLA,20160930,$13.4807,$13.6653,$13.3033,$13.602,38725931
TSLA,20160929,$13.7067,$13.822,$13.372,$13.38,40710580
TSLA,20160928,$13.834,$13.8833,$13.684,$13.7513,31189844
TSLA,20160927,$13.9767,$13.9988,$13.6406,$13.7207,50518580
TSLA,20160926,$13.7667,$14.0667,$13.7667,$13.9327,35900577
TSLA,20160923,$13.7327,$14.012,$13.7113,$13.83,43561853
TSLA,20160922,$13.76,$13.8187,$13.5333,$13.762,35723982
TSLA,20160921,$13.758,$13.80,$13.4373,$13.6813,39469255
TSLA,20160920,$13.79,$13.85,$13.594,$13.6427,36128322
TSLA,20160919,$13.80,$13.962,$13.6667,$13.756,34474753
TSLA,20160916,$13.3613,$13.7133,$13.2667,$13.6933,46563967
TSLA,20160915,$13.0993,$13.5013,$13.0933,$13.3613,46244107
TSLA,20160914,$13.05,$13.195,$12.9904,$13.094,33842128
TSLA,20160913,$13.1373,$13.2327,$12.8967,$13.07,53747073
TSLA,20160912,$13.00,$13.4246,$12.94,$13.22,55710707
TSLA,20160909,$13.2727,$13.328,$12.9133,$12.9647,56305982
TSLA,20160908,$13.3033,$13.326,$13.0907,$13.1573,50584370
TSLA,20160907,$13.70,$13.7665,$13.3807,$13.4473,54568743
TSLA,20160906,$13.268,$13.55,$13.2667,$13.522,65792862
TSLA,20160902,$13.4887,$13.5467,$13.08,$13.1853,89552265
TSLA,20160901,$13.934,$14.0733,$13.3667,$13.3847,118986601
TSLA,20160831,$14.0287,$14.1733,$13.91,$14.134,49122785
TSLA,20160830,$14.4073,$14.4073,$14.0347,$14.0893,47463306
TSLA,20160829,$14.6767,$14.6933,$14.3333,$14.3467,48920691
TSLA,20160826,$14.8093,$14.857,$14.588,$14.666,33571288
TSLA,20160825,$14.874,$14.92,$14.718,$14.7307,26403167
TSLA,20160824,$15.1367,$15.1433,$14.8147,$14.8413,38504186
TSLA,20160823,$14.9547,$15.2327,$14.8533,$14.9893,71216139
TSLA,20160822,$14.9447,$15.0073,$14.8453,$14.862,30925365
TSLA,20160819,$14.9027,$15.0113,$14.8353,$15.00,24879228
TSLA,20160818,$14.9213,$15.044,$14.8193,$14.9007,25489487
TSLA,20160817,$14.9553,$14.9887,$14.8533,$14.8827,26796107
TSLA,20160816,$15.0327,$15.146,$14.894,$14.9073,33766708
TSLA,20160815,$15.068,$15.30,$14.9953,$15.0393,30269445
TSLA,20160812,$15.0273,$15.11,$14.936,$15.0407,27177736
TSLA,20160811,$15.078,$15.1713,$14.894,$14.994,28154371
TSLA,20160810,$15.216,$15.3247,$14.9747,$15.0433,35047422
TSLA,20160809,$15.1213,$15.4358,$15.11,$15.272,32996474
TSLA,20160808,$15.20,$15.3067,$15.0727,$15.0773,33891958
TSLA,20160805,$15.3333,$15.4667,$15.16,$15.3353,47855106
TSLA,20160804,$15.046,$15.3907,$14.8033,$15.374,62132294
TSLA,20160803,$15.158,$15.3133,$14.9473,$15.0527,57131176
TSLA,20160802,$15.2913,$15.3247,$14.76,$15.1467,58930561
TSLA,20160801,$15.70,$15.7753,$15.292,$15.334,60210690
TSLA,20160729,$15.38,$15.6853,$15.3493,$15.6527,45923587
TSLA,20160728,$15.1967,$15.384,$15.1067,$15.374,36231912
TSLA,20160727,$15.2893,$15.5573,$15.128,$15.2327,43305398
TSLA,20160726,$15.1793,$15.3333,$15.02,$15.3007,51408739
TSLA,20160725,$14.818,$15.426,$14.7581,$15.334,67192211
TSLA,20160722,$14.7993,$14.9667,$14.592,$14.818,38556911
TSLA,20160721,$15.0667,$15.1898,$14.6067,$14.70,66386307
TSLA,20160720,$15.098,$15.32,$15.00,$15.224,38341766
TSLA,20160719,$15.00,$15.2733,$14.9833,$15.0173,45713002
TSLA,20160718,$14.6427,$15.1393,$14.5533,$15.0833,50918795
TSLA,20160715,$14.8347,$14.85,$14.6427,$14.6933,33462298
TSLA,20160714,$14.8747,$14.996,$14.7367,$14.7687,39868465
TSLA,20160713,$15.0333,$15.0393,$14.686,$14.8353,53110458
TSLA,20160712,$14.94,$15.1667,$14.8813,$14.9767,68608091
TSLA,20160711,$14.664,$15.1187,$14.634,$14.9853,80535950
TSLA,20160708,$14.52,$14.654,$14.30,$14.452,61006934
TSLA,20160707,$14.2067,$14.5413,$14.2007,$14.396,54050748
TSLA,20160706,$14.00,$14.3487,$13.9333,$14.296,73654238
TSLA,20160705,$13.982,$14.3029,$13.8667,$14.2653,77547441
TSLA,20160701,$13.7427,$14.5493,$13.7333,$14.4333,80940410
TSLA,20160630,$14.198,$14.2333,$13.9347,$14.152,71916564
TSLA,20160629,$13.6753,$14.1187,$13.5333,$14.0127,89806755
TSLA,20160628,$13.4593,$13.6033,$13.294,$13.4527,92384894
TSLA,20160627,$12.724,$13.254,$12.5247,$13.2367,108177291
TSLA,20160624,$12.67,$13.008,$12.6487,$12.8767,104834183
TSLA,20160623,$13.046,$13.17,$12.8087,$13.0933,151472774
TSLA,20160622,$13.298,$13.73,$13.05,$13.1107,355591322
TSLA,20160621,$14.712,$14.8379,$14.5873,$14.6407,42834264
TSLA,20160620,$14.6333,$14.9167,$14.5487,$14.6467,53246493
TSLA,20160617,$14.5207,$14.666,$14.30,$14.3647,46615987
TSLA,20160616,$14.4947,$14.536,$14.2333,$14.5287,36580362
TSLA,20160615,$14.4633,$14.7933,$14.342,$14.5133,43575008
TSLA,20160614,$14.592,$14.8133,$14.1687,$14.3307,53637303
TSLA,20160613,$14.6333,$15.0513,$14.5107,$14.5247,62817464
TSLA,20160610,$15.1593,$15.198,$14.5615,$14.586,89918175
TSLA,20160609,$15.6653,$15.6887,$15.1373,$15.2907,66813297
TSLA,20160608,$15.5867,$16.0563,$15.507,$15.7013,89476605
TSLA,20160607,$14.816,$15.6293,$14.768,$15.4893,92912264
TSLA,20160606,$14.5333,$14.7267,$14.3633,$14.712,33639493
TSLA,20160603,$14.6667,$14.796,$14.534,$14.5993,33391633
TSLA,20160602,$14.6393,$14.6606,$14.474,$14.5973,30259170
TSLA,20160601,$14.7653,$14.8267,$14.4593,$14.6373,44734028
TSLA,20160531,$14.8693,$14.9833,$14.7667,$14.882,41800209
TSLA,20160527,$14.9993,$15.062,$14.7167,$14.8693,54686853
TSLA,20160526,$14.70,$15.0173,$14.6033,$15.008,60997650
TSLA,20160525,$14.5273,$14.7573,$14.434,$14.6387,46969162
TSLA,20160524,$14.44,$14.5827,$14.3453,$14.5273,45139882
TSLA,20160523,$14.658,$14.84,$14.3907,$14.4147,76451227
TSLA,20160520,$14.466,$14.7033,$14.4233,$14.6853,134948123
TSLA,20160519,$14.2413,$14.4527,$13.82,$14.3473,102268779
TSLA,20160518,$13.9433,$14.354,$13.85,$14.078,83290338
TSLA,20160517,$13.9367,$13.988,$13.6013,$13.644,42630399
TSLA,20160516,$13.8767,$14.21,$13.8613,$13.886,44186288
TSLA,20160513,$13.852,$14.08,$13.78,$13.8407,42309219
TSLA,20160512,$14.096,$14.1113,$13.5772,$13.8187,54751098
TSLA,20160511,$13.8393,$14.3653,$13.7367,$13.9307,77394561
TSLA,20160510,$13.8367,$13.9647,$13.6667,$13.9127,61020764
TSLA,20160509,$14.3813,$14.41,$13.7867,$13.928,71594844
TSLA,20160506,$14.058,$14.4247,$13.874,$14.3287,85255082
TSLA,20160505,$15.2307,$15.2427,$13.986,$14.102,168725016
TSLA,20160504,$15.3527,$15.6307,$14.6933,$14.8373,128249996
TSLA,20160503,$15.824,$15.9273,$15.4413,$15.488,64444843
TSLA,20160502,$16.10,$16.2127,$15.6547,$16.12,57584341
TSLA,20160429,$16.5427,$16.562,$15.854,$16.0507,81077419
TSLA,20160428,$16.6567,$16.8953,$16.496,$16.514,37733906
TSLA,20160427,$16.85,$17.00,$16.6267,$16.7647,47971551
TSLA,20160426,$16.8033,$17.0487,$16.626,$16.916,48266661
TSLA,20160425,$16.8673,$17.1587,$16.7173,$16.788,54976293
TSLA,20160422,$16.5927,$16.9333,$16.3807,$16.9167,56746862
TSLA,20160421,$16.5993,$16.7267,$16.4607,$16.5527,41656164
TSLA,20160420,$16.4173,$16.9107,$16.10,$16.6647,77885106
TSLA,20160419,$16.8747,$16.958,$16.0834,$16.4913,95270352
TSLA,20160418,$16.8153,$17.2207,$16.7773,$16.9253,63948658
TSLA,20160415,$16.754,$16.9733,$16.608,$16.9673,56228867
TSLA,20160414,$16.8667,$17.1226,$16.7367,$16.7907,61938839
TSLA,20160413,$16.5673,$17.0333,$16.4887,$16.9687,73823273
TSLA,20160412,$16.6333,$16.7867,$16.242,$16.5213,86330222
TSLA,20160411,$16.7333,$17.266,$16.3533,$16.6613,137345991
TSLA,20160408,$17.3667,$17.388,$16.5347,$16.6713,110290550
TSLA,20160407,$17.7633,$17.956,$16.9673,$17.1467,132683439
TSLA,20160406,$16.9313,$17.8493,$16.8967,$17.6947,175436312
TSLA,20160405,$16.0333,$17.104,$16.00,$17.0313,148971976
TSLA,20160404,$16.608,$16.808,$16.2427,$16.466,200717300
TSLA,20160401,$16.3217,$16.5267,$15.55,$15.8393,239698530
TSLA,20160331,$15.2893,$15.828,$15.0007,$15.318,119634510
TSLA,20160330,$15.6727,$15.70,$15.10,$15.126,60385020
TSLA,20160329,$15.326,$15.492,$15.022,$15.342,60090525
TSLA,20160328,$15.4407,$15.654,$15.00,$15.3507,58178956
TSLA,20160324,$14.3853,$15.2592,$14.3333,$15.1833,74349023
